epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7181,1.24536,1.9422,0.82972,0,0,0,0,1.49956,4.25786,0.82941,0.000405983,0.000405983,0.000405983
2,45.9756,1.24876,0.9471,0.81703,0.02758,0.22739,0.16309,0.07142,1.2452,3.30496,0.80703,0.000814505,0.000814505,0.000814505
3,75.7122,1.25799,0.80414,0.81951,0.97258,0.18044,0.43487,0.23342,1.17011,1.81526,0.80987,0.00121478,0.00121478,0.00121478
4,105.245,1.18593,0.73432,0.81386,0.85533,0.54047,0.64576,0.38021,1.04312,0.84938,0.80453,0.00121287,0.00121287,0.00121287
5,134.793,1.14881,0.66884,0.81149,0.77041,0.59019,0.64271,0.38673,1.03657,0.68249,0.80387,0.0012005,0.0012005,0.0012005
6,164.332,1.10748,0.63487,0.80833,0.80594,0.64823,0.67326,0.39995,1.04682,0.56204,0.80693,0.00118812,0.00118812,0.00118812
7,194.094,1.03192,0.57836,0.79915,0.86624,0.67406,0.74777,0.44341,1.02033,0.53304,0.80006,0.00117575,0.00117575,0.00117575
8,223.625,1.04085,0.56923,0.8012,0.88113,0.6346,0.74207,0.46756,0.94068,0.49994,0.79728,0.00116337,0.00116337,0.00116337
9,253.189,1.00774,0.53217,0.79924,0.86189,0.64413,0.76405,0.48004,0.93105,0.48528,0.79823,0.001151,0.001151,0.001151
10,282.726,1.02813,0.54043,0.80077,0.86339,0.70034,0.74962,0.45938,0.9205,0.53429,0.79524,0.00113863,0.00113863,0.00113863
11,308.232,1.01735,0.53844,0.79813,0.8282,0.64762,0.7121,0.45248,0.97652,0.5382,0.80142,0.00112625,0.00112625,0.00112625
12,333.674,1.07977,0.5642,0.80366,0.83663,0.68268,0.70093,0.42185,1.03143,0.52861,0.80402,0.00111388,0.00111388,0.00111388
13,359.116,1.02947,0.54664,0.80142,0.80626,0.64875,0.72007,0.45914,0.99754,0.56142,0.80458,0.0011015,0.0011015,0.0011015
14,384.569,0.98705,0.51222,0.79826,0.73827,0.65965,0.67748,0.4128,0.93779,0.49428,0.7955,0.00108913,0.00108913,0.00108913
15,410.041,0.98926,0.49783,0.79643,0.87639,0.69709,0.6985,0.44924,1.00759,0.53014,0.79976,0.00107675,0.00107675,0.00107675
16,435.485,0.9906,0.49322,0.79888,0.84209,0.67695,0.73178,0.49663,0.89555,0.47325,0.79564,0.00106437,0.00106437,0.00106437
17,465.03,0.96331,0.48483,0.79352,0.83478,0.71253,0.74033,0.49575,0.8926,0.47321,0.79196,0.001052,0.001052,0.001052
18,494.591,0.97214,0.48451,0.79432,0.89839,0.7188,0.77973,0.51439,0.86903,0.45065,0.79315,0.00103962,0.00103962,0.00103962
19,524.145,0.92526,0.47081,0.7956,0.91232,0.69428,0.7741,0.49132,0.94557,0.47586,0.79818,0.00102725,0.00102725,0.00102725
20,549.578,0.93246,0.46586,0.79255,0.83761,0.71205,0.76026,0.49488,0.88982,0.45072,0.79425,0.00101488,0.00101488,0.00101488
21,575.054,0.88735,0.44022,0.79056,0.87624,0.7434,0.77751,0.53752,0.82265,0.42324,0.78735,0.0010025,0.0010025,0.0010025
22,604.619,0.88913,0.43382,0.78905,0.85231,0.70363,0.76631,0.52224,0.92477,0.46575,0.79465,0.000990125,0.000990125,0.000990125
23,630.271,0.97947,0.47916,0.79376,0.92296,0.69466,0.78745,0.51414,0.90457,0.48244,0.79253,0.00097775,0.00097775,0.00097775
24,655.724,0.93742,0.45707,0.79094,0.83681,0.73683,0.76979,0.50293,0.90804,0.45648,0.79516,0.000965375,0.000965375,0.000965375
25,681.206,0.89108,0.43638,0.79045,0.80063,0.7292,0.76296,0.52034,0.8543,0.43891,0.79041,0.000953,0.000953,0.000953
26,706.648,0.90862,0.43579,0.79235,0.85361,0.72949,0.77655,0.53232,0.88933,0.46197,0.79134,0.000940625,0.000940625,0.000940625
27,732.14,0.88979,0.43577,0.78806,0.94786,0.71589,0.79028,0.56469,0.80926,0.42527,0.78793,0.00092825,0.00092825,0.00092825
28,761.666,0.84783,0.41936,0.78809,0.94494,0.69348,0.80506,0.55215,0.81011,0.43188,0.78733,0.000915875,0.000915875,0.000915875
29,787.236,0.87133,0.4253,0.7877,0.8617,0.75808,0.79198,0.54128,0.79705,0.42269,0.78771,0.0009035,0.0009035,0.0009035
30,812.698,0.86205,0.41787,0.78918,0.90706,0.76913,0.80577,0.52819,0.86568,0.42725,0.79372,0.000891125,0.000891125,0.000891125
31,838.193,0.89435,0.43226,0.78813,0.93429,0.73671,0.81492,0.52935,0.86589,0.42514,0.79182,0.00087875,0.00087875,0.00087875
32,863.624,0.89228,0.43408,0.78819,0.91808,0.72576,0.80023,0.54438,0.81982,0.43767,0.7921,0.000866375,0.000866375,0.000866375
